Jurisdiction,"Fire area","Forest area in fire area",Proportion of fire area that is forested (%)
ACT,90,83,93
NSW,5682,5123,90
NT, 0, 0, 0
QLD,574,514,90
SA,313,137,44
TAS,45,30,65
VIC,1583,1457,92
WA,2044,1143,56
